SiteName,PrimaryUse,Borough,AreaHa,Access,,,,,,,,,
Silwood Crescent Green,Amenity green space,Greenwich,0.1777,Free,,,,,,,,,
Phillipa Gardens,Amenity green space,Greenwich,0.2463,Free,,,,,,,,,
Abbey Wood Park,Park,Greenwich,4.7585,Free,,,,,,,,,
Battery Road Green Space,Amenity green space,Greenwich,0.2603,Free,,,,,,,,,
Eltham Common Woodland,Nature reserve,Greenwich,10.0992,Free,,,,,,,,,
St Alfege Park,Park,Greenwich,0.8889,Free,,,,,,,,,
Dreadnought Walk Play Area,Play space,Greenwich,0.1237,Free,,,,,,,,,
Harvey Gardens,Amenity green space,Greenwich,0.2087,Free,,,,,,,,,
Eastmore Street Park,Park,Greenwich,0.6122,Free,,,,,,,,,
Avery Hill Park,Park,Greenwich,23.1133,Free,,,,,,,,,
"Bidderden Way, Beaumanor Gardens, Swaithland Gardens and Jason Walk",Amenity green space,Greenwich,1.9831,Free,,,,,,,,,
Sidcup Rd sports ground,Recreation ground,Greenwich,11.9648,Free,,,,,,,,,
Queens Gardens,Park,Greenwich,0.4106,Free,,,,,,,,,
Will Crooks Gardens Bank,Amenity green space,Greenwich,1.118,Free,,,,,,,,,
Cator Park,Park,Greenwich,7.7172,Free,,,,,,,,,
Weigall Road Playing Fields,Playing fields,Greenwich,2.9624,Free,,,,,,,,,
Beresford Square,Civic/market square,Greenwich,0.5813,Free,,,,,,,,,
Valley Grove Wood Amenity Space,Amenity green space,Greenwich,0.3786,Free,,,,,,,,,
Southern Park,Park,Greenwich,2.5018,Free,,,,,,,,,
"St. Nicholas's Church, Deptford",Cemetery/churchyard,Greenwich,0.2759,Free,,,,,,,,,
Northern Park,Park,Greenwich,4.1749,Free,,,,,,,,,
Greenwich Park,Park,Greenwich,72.4421,Free,,,,,,,,,
Oxleas Wood,Public woodland,Greenwich,47.6886,Free,,,,,,,,,
Plumstead Common W of Waverly Crescent,Common,Greenwich,2.7061,Free,,,,,,,,,
Police Station Green,Amenity green space,Greenwich,0.7863,Free,,,,,,,,,
Middle Park Ave central,Amenity green space,Greenwich,0.4005,Free,,,,,,,,,
Catherine Grove Green Space,Amenity green space,Greenwich,0.0758,Free,,,,,,,,,
Charlotte Turner Gardens,Park,Greenwich,1.1774,Free,,,,,,,,,
Revell Rise,Nature reserve,Greenwich,0.6402,Free,,,,,,,,,
Bevan Rd,Allotments,Greenwich,0.2252,De facto,,,,,,,,,
Boiler House green,Amenity green space,Greenwich,0.7303,Free,,,,,,,,,
The Hall Greenspace,Amenity green space,Greenwich,0.9283,Free,,,,,,,,,
Bromholm Rd Green Space,Amenity green space,Greenwich,1.2519,Free,,,,,,,,,
Middle Park Close field,Recreation ground,Greenwich,4.9557,Free,,,,,,,,,
Thamesmere Lake,Amenity green space,Greenwich,3.7656,Free,,,,,,,,,
Crossway Drain,Amenity green space,Greenwich,0.6758,Free,,,,,,,,,
East Greenwich Pleasaunce,Park,Greenwich,2.4045,Free,,,,,,,,,
Elmbrook Gardens Green,Amenity green space,Greenwich,0.223,Free,,,,,,,,,
Brenley Gardens,Amenity green space,Greenwich,0.224,Free,,,,,,,,,
